Название,URL,Причина
La Nueva España - Centro,https://www.lne.es/rss/section/3033/,Нет свежих новостей (всего: 10)
La Nueva España - Ribera de Arriba,https://www.lne.es/rss/section/1968524/,Нет свежих новостей (всего: 10)
La Nueva España - 30 Aniversario de LA NUEVA ESPAÑA de Gijón,https://www.lne.es/rss/section/1945233/,Нет свежих новостей (всего: 0)
La Nueva España - Corvera de Asturias,https://www.lne.es/rss/geo/10010/,Нет свежих новостей (всего: 11)
La Nueva España - Illas,https://www.lne.es/rss/geo/10012/,Нет свежих новостей (всего: 11)
La Nueva España - Oriente Opinión,https://www.lne.es/rss/section/3274/,Нет свежих новостей (всего: 16)
La Nueva España - Occidente Opinión,https://www.lne.es/rss/section/3275/,Нет свежих новостей (всего: 15)
La Nueva España - cudillero,https://www.lne.es/rss/geo/10051/,Нет свежих новостей (всего: 11)
La Nueva España - Javier Cuervo,https://www.lne.es/rss/author/3577/,Нет свежих новостей (всего: 9)
La Nueva España - Xuan Xosé Sánchez Vicente,https://www.lne.es/rss/author/3598/,Нет свежих новостей (всего: 9)
La Nueva España - Maxi Rodríguez,https://www.lne.es/rss/author/3597/,Нет свежих новостей (всего: 9)
La Nueva España - Tribunales,https://www.lne.es/rss/section/1612219/,Нет свежих новостей (всего: 10)
La Nueva España - Investigación,https://www.lne.es/rss/section/1612170/,Нет свежих новостей (всего: 10)
La Nueva España - Delitos informáticos,https://www.lne.es/rss/section/1612172/,Нет свежих новостей (всего: 10)
La Nueva España - Violencia machista,https://www.lne.es/rss/section/1616414/,Нет свежих новостей (всего: 10)
La Nueva España - Desaparecidos,https://www.lne.es/rss/section/1612171/,Нет свежих новостей (всего: 10)
La Nueva España - Empleo en Asturias,https://www.lne.es/rss/section/1527093/,Нет свежих новостей (всего: 10)
La Nueva España - Asociaciones Profesionales,https://www.lne.es/rss/section/1517849/,Нет свежих новостей (всего: 10)
La Nueva España - Vivienda en Asturias,https://www.lne.es/rss/section/1527104/,Нет свежих новостей (всего: 10)
La Nueva España - Empresas en Asturias,https://www.lne.es/rss/section/3042/,Нет свежих новостей (всего: 10)
La Nueva España - Decoración,https://www.lne.es/rss/section/3008/,Нет свежих новостей (всего: 10)
