Название,URL,Свежихновостей,Всегоновостей,Процентсвежих
General,https://www.lne.es/rss/,20,20,100.0%
Opinión,https://www.lne.es/rss/section/3000/,16,16,100.0%
Langreo,https://www.lne.es/rss/geo/10036/,11,11,100.0%
Mieres,https://www.lne.es/rss/geo/10039/,11,11,100.0%
Llanes,https://www.lne.es/rss/geo/10077/,11,11,100.0%
Valdés,https://www.lne.es/rss/geo/10067/,11,11,100.0%
Municipios,https://www.lne.es/rss/geo/10000/,11,11,100.0%
Asturias,https://www.lne.es/rss/section/3024/,10,10,100.0%
Oviedo,https://www.lne.es/rss/section/3013/,10,10,100.0%
Gijón,https://www.lne.es/rss/section/3017/,10,10,100.0%
RealOviedo,https://www.lne.es/rss/section/3040/,10,10,100.0%
SportingdeGijón,https://www.lne.es/rss/section/3041/,10,10,100.0%
Avilésycomarca,https://www.lne.es/rss/section/3018/,10,10,100.0%
Cuencas,https://www.lne.es/rss/section/3020/,10,10,100.0%
Oriente,https://www.lne.es/rss/section/3022/,10,10,100.0%
Occidente,https://www.lne.es/rss/section/3023/,10,10,100.0%
Economía,https://www.lne.es/rss/section/3027/,10,10,100.0%
Deportes,https://www.lne.es/rss/section/3028/,10,10,100.0%
DeporteAstur,https://www.lne.es/rss/section/1250775/,10,10,100.0%
Sociedad,https://www.lne.es/rss/section/3054/,10,10,100.0%
TVyEspectáculos,https://www.lne.es/rss/section/3088/,10,10,100.0%
España,https://www.lne.es/rss/section/3025/,10,10,100.0%
Internacional,https://www.lne.es/rss/section/3026/,10,10,100.0%
VidayEstilo,https://www.lne.es/rss/section/2000/,10,10,100.0%
Salud,https://www.lne.es/rss/section/3009/,10,10,100.0%
Videos,https://www.lne.es/rss/section/3093/,10,10,100.0%
Fotos,https://www.lne.es/rss/section/3143/,10,10,100.0%
Ocio,https://www.lne.es/rss/section/1000/,10,10,100.0%
RosalíaAgudín,https://www.lne.es/rss/author/2081814/,9,9,100.0%
RamónDíaz,https://www.lne.es/rss/author/3586/,9,9,100.0%
DemelsaÁlvarez,https://www.lne.es/rss/author/1290455/,9,9,100.0%
LujánPalacios,https://www.lne.es/rss/author/3553/,9,9,100.0%
BenitoDomínguez,https://www.lne.es/rss/author/1784785/,9,9,100.0%
